y	x	key	showSelected1	showSelected2	PANEL
0	118123.823	McGill0322 118123823	McGill0322	2	3
0	118115.802	McGill0322 118115802	McGill0322	3	3
0	118122.396	McGill0322 118122396	McGill0322	3	3
0	118123.823	McGill0322 118123823	McGill0322	3	3
0	118109.813	McGill0322 118109813	McGill0322	4	3
0	118115.802	McGill0322 118115802	McGill0322	4	3
0	118122.396	McGill0322 118122396	McGill0322	4	3
0	118123.823	McGill0322 118123823	McGill0322	4	3
0	118096.622	McGill0322 118096622	McGill0322	5	3
0	118109.813	McGill0322 118109813	McGill0322	5	3
0	118115.802	McGill0322 118115802	McGill0322	5	3
0	118122.396	McGill0322 118122396	McGill0322	5	3
0	118123.823	McGill0322 118123823	McGill0322	5	3
0	118094.639	McGill0322 118094639	McGill0322	6	3
0	118105.279	McGill0322 118105279	McGill0322	6	3
0	118109.813	McGill0322 118109813	McGill0322	6	3
0	118115.802	McGill0322 118115802	McGill0322	6	3
0	118122.396	McGill0322 118122396	McGill0322	6	3
0	118123.823	McGill0322 118123823	McGill0322	6	3
0	118096.321	McGill0322 118096321	McGill0322	7	3
0	118102.728	McGill0322 118102728	McGill0322	7	3
0	118105.279	McGill0322 118105279	McGill0322	7	3
0	118109.813	McGill0322 118109813	McGill0322	7	3
0	118115.802	McGill0322 118115802	McGill0322	7	3
0	118122.396	McGill0322 118122396	McGill0322	7	3
0	118123.823	McGill0322 118123823	McGill0322	7	3
0	118091.152	McGill0322 118091152	McGill0322	8	3
0	118094.561	McGill0322 118094561	McGill0322	8	3
0	118102.728	McGill0322 118102728	McGill0322	8	3
0	118105.279	McGill0322 118105279	McGill0322	8	3
0	118109.813	McGill0322 118109813	McGill0322	8	3
0	118115.802	McGill0322 118115802	McGill0322	8	3
0	118122.396	McGill0322 118122396	McGill0322	8	3
0	118123.823	McGill0322 118123823	McGill0322	8	3
0	118091.152	McGill0322 118091152	McGill0322	9	3
0	118094.561	McGill0322 118094561	McGill0322	9	3
0	118102.728	McGill0322 118102728	McGill0322	9	3
0	118105.279	McGill0322 118105279	McGill0322	9	3
0	118109.813	McGill0322 118109813	McGill0322	9	3
0	118115.802	McGill0322 118115802	McGill0322	9	3
0	118121.33	McGill0322 118121330	McGill0322	9	3
0	118122.423	McGill0322 118122423	McGill0322	9	3
0	118123.823	McGill0322 118123823	McGill0322	9	3
0	118121.934	McGill0004 118121934	McGill0004	1	4
0	118093.873	McGill0004 118093873	McGill0004	2	4
0	118121.934	McGill0004 118121934	McGill0004	2	4
0	118093.873	McGill0004 118093873	McGill0004	3	4
0	118109.96	McGill0004 118109960	McGill0004	3	4
0	118121.934	McGill0004 118121934	McGill0004	3	4
0	118093.64	McGill0004 118093640	McGill0004	4	4
0	118096.982	McGill0004 118096982	McGill0004	4	4
0	118109.952	McGill0004 118109952	McGill0004	4	4
0	118121.934	McGill0004 118121934	McGill0004	4	4
0	118093.64	McGill0004 118093640	McGill0004	5	4
0	118096.982	McGill0004 118096982	McGill0004	5	4
0	118109.93	McGill0004 118109930	McGill0004	5	4
0	118121.026	McGill0004 118121026	McGill0004	5	4
0	118121.934	McGill0004 118121934	McGill0004	5	4
0	118093.603	McGill0004 118093603	McGill0004	6	4
0	118094.486	McGill0004 118094486	McGill0004	6	4
0	118096.982	McGill0004 118096982	McGill0004	6	4
0	118109.93	McGill0004 118109930	McGill0004	6	4
0	118121.026	McGill0004 118121026	McGill0004	6	4
0	118121.934	McGill0004 118121934	McGill0004	6	4
0	118093.603	McGill0004 118093603	McGill0004	7	4
0	118094.486	McGill0004 118094486	McGill0004	7	4
0	118096.982	McGill0004 118096982	McGill0004	7	4
0	118108.246	McGill0004 118108246	McGill0004	7	4
0	118108.787	McGill0004 118108787	McGill0004	7	4
0	118121.026	McGill0004 118121026	McGill0004	7	4
0	118121.934	McGill0004 118121934	McGill0004	7	4
0	118093.603	McGill0004 118093603	McGill0004	8	4
0	118094.486	McGill0004 118094486	McGill0004	8	4
0	118096.982	McGill0004 118096982	McGill0004	8	4
0	118100.217	McGill0004 118100217	McGill0004	8	4
0	118108.246	McGill0004 118108246	McGill0004	8	4
0	118108.787	McGill0004 118108787	McGill0004	8	4
0	118121.026	McGill0004 118121026	McGill0004	8	4
0	118121.934	McGill0004 118121934	McGill0004	8	4
0	118093.603	McGill0004 118093603	McGill0004	9	4
0	118094.486	McGill0004 118094486	McGill0004	9	4
0	118096.982	McGill0004 118096982	McGill0004	9	4
0	118100.217	McGill0004 118100217	McGill0004	9	4
0	118108.246	McGill0004 118108246	McGill0004	9	4
0	118108.787	McGill0004 118108787	McGill0004	9	4
0	118117.972	McGill0004 118117972	McGill0004	9	4
0	118121.184	McGill0004 118121184	McGill0004	9	4
0	118121.934	McGill0004 118121934	McGill0004	9	4
